key,value
168687,86108
33500,175666
184242,193665
179677,137990
24498,169351
175756,110993
133297,94851
4779,95052
80967,47254
56149,89583
127473,50333
59386,36061
40617,20228
77540,26513
133087,141497
193631,138027
9895,173520
88280,162013
34353,156564
98754,40436
42532,47407
181625,163771
43395,189053
114733,11453
107704,95498
177304,188635
62267,116444
160063,74692
197234,196224
117683,61342
139987,62696
81125,122949
50860,96427
177814,149532
115499,121026
73864,100105
131833,138270
109749,42482
52349,158508
36280,65536
13678,168081
125983,97311
145369,26893
186489,135242
32683,74727
21987,42024
71510,117786
134572,38626
114680,24042
58205,118260
91641,6991
108762,13960
103928,131598
98031,61807
101231,21392
98281,58861
7389,83541
25974,187355
170383,87894
38285,36070
10040,75203
123851,182471
36383,198925
184952,122974
117598,161309
1376,20768
4981,67088
56532,39195
143865,190640
159614,138352
110953,29146
75524,62295
78944,31941
12517,62505
110054,167497
163266,119829
16464,29060
131027,156431
140523,4308
165663,135102
150745,63422
188362,37637
76355,112522
410,161168
92488,63062
149596,109200
49103,174160
175168,22443
137228,94530
17741,137903
142627,132992
133070,145267
5330,102355
123243,11412
166637,101418
97858,66492
195904,4257
93610,17710
90387,63209
192136,172255
164693,27174
152542,192724
198358,87167
34972,11622
92353,143134
88748,168505
45898,179485
121798,182292
125444,165605
47783,35350
16541,187706
119977,9695
76924,52845
11483,52289
10985,82731
81284,135104
104392,142352
124098,66404
9599,197470
169581,50096
75002,93578
12531,171896
87012,71622
32630,96474
114544,104863
194853,115274
101356,88876
48973,130076
181421,130422
96297,136125
69919,21656
190600,111280
20690,112881
157929,47305
142992,77009
84203,26895
20989,85962
173256,77500
80346,116894
157973,188131
111703,43684
180817,116367
92155,117212
11103,190530
92421,161179
114017,71973
167633,15036
19671,175946
167120,106485
95239,134502
196581,178103
41939,8163
37428,159271
177756,114864
9122,33090
17624,61864
169125,96030
94935,100362
148699,8489
158621,40222
178012,117944
97246,97521
116376,20155
150450,36095
138794,96193
104342,82414
170278,73056
65434,29739
6793,192852
48771,130821
135723,101446
147239,30870
68623,68233
184559,116987
56248,160399
74862,181922
128765,52475
32148,35580
19412,118500
45260,187005
116683,23013
178763,83778
175070,91075
186001,17023
144178,142126
76116,78631
41289,186596
186007,183558
167169,45636
94763,133367
58783,31814
52685,36405
62058,129504
6890,94606
145233,150019
96707,122527
144610,34018
160418,22600
17235,81078
104375,187939
188447,125479
137807,107687
107330,150706
19333,32853
83106,168385
19441,117958
122115,178286
135622,90312
33642,144520
167718,154084
47700,33825
113408,131822
14526,32548
135817,40112
79724,43163
42458,84583
185947,59105
90707,136025
74461,20672
65694,51459
166476,144399
71945,32812
163845,79383
161068,139848
24491,131746
168031,44206
155139,152212
40421,44879
172682,163703
188909,158633
88504,147749
10798,7437
21292,11917
168153,151197
69377,170689
55262,149982
109205,162033
167507,7939
130557,164407
143019,75935
168272,79192
126601,64193
179566,106454
77970,118893
19129,180515
15705,41439
115239,108952
126943,121750
53483,89179
159032,37661
81941,188314
83706,192466
90536,104521
34279,199403
97134,134998
147233,27835
83654,63370
122282,32118
70116,117858
64990,36930
25378,13265
76077,100702
161317,109611
65082,41864
85835,151437
189039,81976
49763,41770
130617,134932
122372,130746
80882,130382
6075,23605
103086,132499
119860,63105
56398,152920
92509,12755
13248,73755
129733,156635
171510,176297
123361,74907
140690,2143
28179,112965
35110,69329
190711,95886
105710,95928
11860,105010
13410,149495
147276,51027
95033,145024
75655,19275
101279,132187
118057,144141
73327,163379
178362,160181
31145,33728
25344,103259
97831,88889
146232,95841
197909,37818
52181,157932
133463,105221
131092,10552
11876,10201
35923,187063
87304,124189
136139,119796
39043,158927
135136,36642
85974,160712
83500,42598
103010,161611
193808,78442
155641,88178
132989,133618
139549,128410
185791,147567
78588,124490
4361,96562
86832,176634
28732,109193
153014,80655
190139,180366
164956,6985
156476,124410
69607,171859
151643,151423
59649,189110
13462,152967
125946,44698
137424,164895
189053,162460
99664,38738
178448,63490
8276,150095
183637,28808
50012,4964
115615,82232
109780,39696
108255,181010
53448,107577
131548,160295
123628,192895
190684,16326
185014,36197
135969,54353
147033,85209
173598,125402
137750,98782
82248,45398
120498,139756
89738,143202
92874,177174
188986,178453
168639,181747
69300,159927
126924,50400
64623,73139
146299,78249
58947,78017
75760,184785
54336,180942
184808,128189
83110,125777
91436,146928
189179,71685
75442,31948
150333,177372
142394,99534
103424,90474
38397,76140
11027,75400
187207,20717
90797,115966
171959,67225
195910,125587
56095,52970
141184,71075
147329,182497
71203,35985
28633,161396
194220,153834
62726,63558
13307,175592
139209,59158
167233,61036
13760,26266
108344,86584
188051,123837
26357,178570
36036,1358
144271,41403
106668,171151
124701,125160
170534,52286
198157,75299
84192,74819
169318,15509
23451,170996
150505,60875
140286,193642
189560,9777
45892,109546
46081,9526
104069,129861
48840,196346
75882,9821
2429,78221
148887,158015
28128,87829
74596,119104
168116,142422
137446,129476
35179,132176
122688,71522
50544,29529
86686,42596
191658,120301
169944,67440
188376,48810
3692,193099
88371,77338
148840,176790
198517,50636
46004,160158
167438,106296
112119,135077
85964,22737
105076,175441
25004,48439
36860,125161
84830,65024
1790,68363
100551,61740
117109,197592
69990,86409
79153,152688
189499,150176
2997,68564
171359,94254
181605,61945
16285,175056
30991,122000
80427,41868
106277,179850
131732,184433
81521,180955
30779,167434
77342,96349
161120,57894
57443,35014
125352,40156
119269,196014
158790,97943
109011,184009
143978,123424
198534,140907
174088,57255
199716,64871
178347,197850
156189,21461
137758,117112
138457,184488
94839,20474
147893,29414
16189,143562
132510,52994
150130,140682
39282,43132
86014,136404
115825,30471
178335,53844
187935,152868
128143,23839
133791,116780
14584,118864
34588,134544
108901,119746
147825,15135
146485,121209
176362,80784
189603,5706
103795,66704
790,195508
57121,151600
19144,11872
111069,90316
183601,16714
141862,15795
18092,123750
8319,75259
107182,47181
35501,168171
191178,169313
110195,98162
100264,117581
98958,98473
21037,178973
173484,141374
34862,171320
91165,31098
46785,140839
103037,138632
33383,190803
58376,910
198227,5959
78214,121373
176553,188506
142723,111182
139443,99425
60205,64883
120750,90743
40664,72259
49409,190060
29581,8445
173066,109901
161198,4101
63089,54023
17639,26449
155698,8801
117031,156705
176166,184362
12760,64155
194128,11596
105451,115071
61430,141494
56955,197757
14796,36735
132093,75828
61384,191762
151023,83598
151381,156740
176300,84060
62102,79105
37554,173070
136642,57945
108412,78774
72129,15979
145940,155101
192731,45910
164100,177930
111988,145712
129924,12290
90286,168641
175988,99917
137484,83554
182533,109137
107022,39116
78613,98686
48202,197765
141014,124130
63168,59072
78836,185487
37840,121379
15105,147426
108180,109185
146089,138934
35151,101821
63663,66845
53303,86576
169530,20727
117908,97275
24238,140413
189945,49933
13510,70375
98872,176599
158589,158052
10367,19079
49325,199674
154031,189872
176016,146499
56889,125670
54759,87284
79478,4019
55524,49813
194373,30753
195789,197743
125546,63594
182354,158440
184488,53611
103974,62739
144724,84309
74202,99788
122224,139893
170058,94177
80851,68566
94278,134431
130358,122160
25849,189376
123074,199656
83947,53248
97178,82030
108509,11984
147462,58005
194314,38252
4251,68360
145047,153100
151818,188746
109465,77382
39953,51430
86472,60298
99572,149366
64416,130888
144347,171601
179528,88490
67456,128089
189676,168216
193880,128606
120803,44101
192091,92320
44371,36689
188825,143273
128009,48247
142117,168246
15396,137348
8866,19485
175168,12717
1673,108106
36042,165334
60668,17817
185380,39591
2396,57336
132574,119540
97832,15846
161961,167176
174785,161616
126669,172827
127888,4123
1733,139516
144610,107829
3106,4384
138783,189318
72021,140440
75153,4493
131652,182939
176693,112872
46993,28053
25248,137464
39032,63168
50313,162471
138007,66169
92914,70077
104044,20714
97793,106437
120323,148111
63755,182776
59207,78636
179317,21133
171372,170365
199120,8305
24510,106241
99421,98872
144887,124781
14710,166919
2477,184246
44927,21675
131034,113746
169058,86840
148335,24998
138453,11154
60231,55421
181479,148579
124649,71065
12205,19489
179418,73498
142352,147720
172519,8625
47016,82440
4104,54305
153887,37798
197198,186833
104410,20168
78453,42585
147838,63038
148555,102015
177480,141705
86960,100622
198078,193919
36687,180698
189835,20559
131279,195416
90664,14076
25607,114580
60855,19927
89284,158641
160921,156135
103993,85557
7766,166231
71651,118109
128608,59805
93273,144975
98415,113206
48690,178177
153583,173191
99633,22464
162166,77431
64605,186937
19269,21505
70247,40428
99614,186561
166173,40442
193896,102137
83015,94555
27931,23991
1361,80810
116584,94350
199582,70717
26799,34735
22884,49123
112978,117661
146010,145421
134333,106966
27077,6884
23493,92776
145285,24396
156480,156773
85047,100987
3235,76506
108477,101659
22203,190013
146679,63633
149935,136604
44455,179651
99806,44433
36396,70495
78939,70361
129269,38255
16585,43832
113947,72341
110389,78578
126938,20164
94666,65981
64642,188979
163848,129971
155662,161656
51261,120025
28042,35517
79864,1774
103728,87088
162579,99585
86387,115401
87749,112883
170665,155816
35684,78757
84060,158128
182266,52652
125569,82361
46566,104396
83660,76401
192642,182179
165911,128714
150963,63550
85429,98580
73479,103005
95686,29855
147810,52376
155248,143033
47166,178706
144205,7055
190634,121011
185694,54958
114938,76370
181622,18129
107254,176417
130889,36484
166025,79385
63444,66238
172664,40407
187494,110920
98825,19389
117720,156744
125628,152631
105068,140081
132805,181327
109655,142513
9637,94248
183929,140746
155666,167295
22277,28670
65072,172386
174245,93063
43604,169607
160609,11612
147644,169091
177595,169539
104757,197311
86926,112841
27772,2765
25849,67826
58196,133870
195783,135999
146274,152179
180267,150794
57942,116858
98073,102533
121389,178141
154295,180993
131194,39516
90431,6438
126555,27406
77445,109045
22506,30426
191404,37139
91312,81760
89932,119362
54229,136607
126596,91304
124823,25591
114862,189266
182652,118606
83600,17609
78712,11713
186326,30168
5920,89935
169861,28668
177508,43084
194114,63940
135264,45731
144679,41978
86766,146761
111770,121124
60779,106180
165087,48352
48860,167897
172309,113281
103699,7652
193301,160984
51727,117853
155242,112604
101930,1166
184742,56307
53945,72966
197217,184486
16400,151348
26673,140742
49010,95890
85454,51661
119944,29872
68774,175820
128315,138337
167538,82157
156492,101879
160250,102903
153879,29945
91206,92270
120025,161837
45227,176577
185070,77973
161083,154709
22217,176189
35113,82099
30896,62540
80053,30657
47984,97859
181780,37056
133909,101833
109638,156349
36141,150681
100587,110897
48694,127577
166592,140870
181779,169151
45412,145467
43742,128356
75716,36777
49046,82465
118227,162374
14053,94119
2512,127037
35791,51151
100648,147215
132497,171198
129753,107252
179489,128902
108955,186159
116353,128109
43844,21671
148215,8089
199506,57810
76569,8570
72051,58941
140930,75673
44094,119884
148281,194646
129843,144107
133904,29677
150133,29938
70225,142372
96170,142093
198386,10907
199230,188476
115701,143223
57289,111451
26847,192935
171356,196960
64888,78042
8449,117894
68895,91377
22802,115099
30772,62113
55018,193360
154120,180652
91915,186319
159976,165877
112241,43511
161520,36499
54164,54248
15560,149441
91964,139534
73684,156462
141234,44139
84843,184563
76712,75846
150139,70082
134850,178074
24962,35543
196632,107897
15541,72698
171939,33262
183874,34784
65451,38336
186487,84435
64894,199615
177270,102944
128308,37269
151368,165780
70442,164577
108586,98349
118486,19796
166101,24404
105604,135164
196556,72935
182112,96749
119195,127937
85796,152556
648,192079
24416,191609
120179,166419
174101,182790
93905,16601
140096,104258
57102,112628
55535,129686
70395,84637
74342,88540
143474,151501
34234,148410
127228,90109
178926,199820
12690,12043
26102,164149
120476,4268
32568,41414
115680,119673
177,112145
53036,180510
34580,170392
79132,41674
71832,24468
171596,94485
65638,21606
97476,174196
170108,43391
13575,103898
163998,80087
190313,183354
197979,61379
112520,171831
23907,184470
24951,284
55947,124992
20431,34786
155629,59294
136169,178253
116671,2434
2113,182346
90065,31612
110707,181936
34648,125226
18567,60017
100419,23417
191565,26850
27053,82143
96354,78447
35947,100328
197435,34903
168185,177507
37448,17933
139069,147663
2221,159991
170398,43022
115369,92061
189381,55851
164647,196154
39681,107927
161500,179979
115968,56949
22724,26336
36703,197249
32284,154553
191367,100671
92152,112561
82445,36655
64955,72605
168983,22085
65055,145069
157548,157288
189052,159276
74690,181004
7031,172597
79075,53856
135724,159102
133568,49452
196042,102695
77474,169389
14304,62741
129731,101157
29555,63198
130962,167269
155695,18615
138487,3163
94659,82961
34598,101407
148997,110326
95790,143224
179029,45290
199944,123473
19134,4375
153973,17703
3615,68730
56555,10440
15851,104326
132804,75101
164776,186811
131346,108903
111037,183975
105454,21607
167913,140657
140943,161493
40024,72736
21914,81240
20715,134035
53267,40731
140611,85655
102427,153730
166276,170351
178534,168599
17331,81309
183153,114684
191354,62557
15179,64088
22600,113897
30405,118848
160509,159601
14425,81078
174608,194430
172504,194159
46044,31311
3320,185571
35969,183893
2975,42947
130131,90886
137102,135586
188944,67960
43768,97483
33274,196549
70454,192134
30947,7695
87821,112544
71298,137325
16743,68930
186731,151165
164503,20203
130062,119327
133898,94404
14533,130969
148605,43746
96387,41237
66877,26975
150447,176716
189472,30234
59874,194191
133385,673
11544,3221
64107,12053
123670,95414
100395,39343
46913,9270
144930,187176
194161,171888
109935,58855
84358,65080
109119,188819
83869,71108
20417,149824
97729,31300
131607,176508
13807,47014
58506,135207
12039,105100
18068,121921
74005,81447
85799,22645
144989,119733
2089,96709
52604,76439
147798,79668
193875,163241
63591,121615
96540,155108
129331,51228
192010,143277
199355,64258
39470,1671
107488,6267
61078,141962
90812,166708
181786,2515
87822,383
198948,172308
98638,193483
190635,80612
27249,53790
138887,62434
110052,128982
15701,37322
186555,73354
24386,11508
60679,136251
108280,183722
97646,120182
196057,22256
152245,25054
132494,34999
167042,103376
19616,155161
148850,16327
114028,173655
34264,62068
76461,68417
82577,103010
183691,192768
85524,83376
118687,71291
61239,19578
53139,35680
153277,28566
40739,27697
43089,117851
122173,82321
106564,31650
140489,93922
54430,118467
80821,121463
69470,31434
23703,41317
179845,79748
184734,182682
158152,10572
56366,85929
38882,23910
186425,65069
93255,103873
134600,12832
177519,78339
68201,45578
8147,106008
118541,145739
196104,144210
65497,24831
121121,26714
36645,31838
3134,16166
58271,34266
51939,105010
97580,179905
165228,169000
22030,152652
153647,67848
19657,5714
16900,51839
169341,116242
33761,24111
86913,32119
11192,120847
13274,44037
150440,113549
189905,103546
130056,7728
100330,179100
111847,45300
92784,56286
49060,72084
73362,116919
38962,9083
160984,162313
161736,64431
169680,77360
130781,108001
144359,125575
15985,22995
73341,100405
35975,109899
52286,168467
137839,65312
165348,142516
5119,100269
187005,94139
125746,142742
127055,90186
148282,131699
84306,101811
70893,47137
6832,83591
156530,57414
7681,73644
15359,123649
138787,93698
153089,61017
41844,26249
64974,172193
63216,69868
139903,193215
14656,57517
150914,101822
93009,45537
46163,62010
155325,83362
193489,182878
94052,155074
7394,184405
183647,92191
148806,147746
37251,147615
49344,129034
142114,81016
46021,128564
9951,23660
14724,60980
157722,57359
5224,138005
125301,179
86962,160991
52812,34207
89327,187940
46520,84826
15612,5744
38721,153776
184731,37133
29077,137965
95653,19013
97934,184690
173575,103703
153620,26484
88227,79105
84568,35769
41288,191981
114522,167579
127716,170178
83173,45666
185383,147318
181812,160880
93539,58520
174465,154389
45967,99191
80431,192412
180485,77205
33383,46585
191058,471
184027,150165
102655,148762
8488,47731
157912,83418
160269,57906
167679,148255
27291,130071
36868,86813
195387,20396
62389,90914
83759,44010
166772,23258
185851,175642
167536,191177
88014,117081
2987,69523
54967,65415
181711,17771
91876,67281
28320,188852
335,12621
101171,114876
192042,110009
43604,108532
129258,99277
92073,143136
98395,26588
125695,151533
170647,198768
180134,59135
42639,118302
19322,8758
77308,5263
83549,68453
27453,19451
89602,44592
98424,42180
191885,19661
143404,24406
88591,155721
160863,126546
184681,8124
113068,171346
43253,159204
113823,41183
14039,26544
86794,53883
49803,107290
182765,145257
189277,191358
141590,69537
173171,73799
77961,62271
25143,13011
102996,149886
144090,128699
40262,14288
94589,1000
112094,22971
77214,173544
163863,157342
125915,52343
25424,6746
54251,44782
167297,76496
21479,124143
30279,80832
